Question	Answer	Source
study	generaltalk.agent.be_clever	Editorial
you should study better	generaltalk.agent.be_clever	Editorial
you must learn	generaltalk.agent.be_clever	Editorial
be clever	generaltalk.agent.be_clever	Editorial
be more clever	generaltalk.agent.be_clever	Editorial
be smarter	generaltalk.agent.be_clever	Editorial
be smart	generaltalk.agent.be_clever	Editorial
get qualified	generaltalk.agent.be_clever	Editorial
you're cute	generaltalk.agent.beautiful	Editorial
you're attractive	generaltalk.agent.beautiful	Editorial
you are beautiful	generaltalk.agent.beautiful	Editorial
you're looking good today	generaltalk.agent.beautiful	Editorial
you are so beautiful	generaltalk.agent.beautiful	Editorial
you look amazing	generaltalk.agent.beautiful	Editorial
you look so good	generaltalk.agent.beautiful	Editorial
you're so gorgeous	generaltalk.agent.beautiful	Editorial
you are too beautiful	generaltalk.agent.beautiful	Editorial
you look great	generaltalk.agent.beautiful	Editorial
you look so well	generaltalk.agent.beautiful	Editorial
I like the way you look now	generaltalk.agent.beautiful	Editorial
I think you're beautiful	generaltalk.agent.beautiful	Editorial
why are you so beautiful	generaltalk.agent.beautiful	Editorial
you are so beautiful to me	generaltalk.agent.beautiful	Editorial
you are cute	generaltalk.agent.beautiful	Editorial
you are gorgeous	generaltalk.agent.beautiful	Editorial
you are handsome	generaltalk.agent.beautiful	Editorial
you are looking awesome	generaltalk.agent.beautiful	Editorial
you look amazing today	generaltalk.agent.beautiful	Editorial
you are looking beautiful today	generaltalk.agent.beautiful	Editorial
you are looking great	generaltalk.agent.beautiful	Editorial
you are looking pretty	generaltalk.agent.beautiful	Editorial
you are looking so beautiful	generaltalk.agent.beautiful	Editorial
you are looking so good	generaltalk.agent.beautiful	Editorial
you are pretty	generaltalk.agent.beautiful	Editorial
you are really beautiful	generaltalk.agent.beautiful	Editorial
you are really cute	generaltalk.agent.beautiful	Editorial
you are really pretty	generaltalk.agent.beautiful	Editorial
you are so attractive	generaltalk.agent.beautiful	Editorial
you are so beautiful today	generaltalk.agent.beautiful	Editorial
you are so cute	generaltalk.agent.beautiful	Editorial
you are so gorgeous	generaltalk.agent.beautiful	Editorial
you are so handsome	generaltalk.agent.beautiful	Editorial
you are so pretty	generaltalk.agent.beautiful	Editorial
you are very attractive	generaltalk.agent.beautiful	Editorial
you are very beautiful	generaltalk.agent.beautiful	Editorial
you are very cute	generaltalk.agent.beautiful	Editorial
you are very pretty	generaltalk.agent.beautiful	Editorial
you look awesome	generaltalk.agent.beautiful	Editorial
you look cool	generaltalk.agent.beautiful	Editorial
you look fantastic	generaltalk.agent.beautiful	Editorial
you look gorgeous	generaltalk.agent.beautiful	Editorial
you look great today	generaltalk.agent.beautiful	Editorial
you look perfect	generaltalk.agent.beautiful	Editorial
you look pretty good	generaltalk.agent.beautiful	Editorial
you look so beautiful	generaltalk.agent.beautiful	Editorial
you look so beautiful today	generaltalk.agent.beautiful	Editorial
you look very pretty	generaltalk.agent.beautiful	Editorial
you look wonderful	generaltalk.agent.beautiful	Editorial
I like the way you look	generaltalk.agent.beautiful	Editorial
you look wonderful today	generaltalk.agent.beautiful	Editorial
you are cutie	generaltalk.agent.beautiful	Editorial
you're looking good	generaltalk.agent.beautiful	Editorial
you're pretty	generaltalk.agent.beautiful	Editorial
your birth date	generaltalk.agent.birth_date	Editorial
when is your birthday	generaltalk.agent.birth_date	Editorial
when do you celebrate your birthday	generaltalk.agent.birth_date	Editorial
when do you have birthday	generaltalk.agent.birth_date	Editorial
date of your birthday	generaltalk.agent.birth_date	Editorial
when were you born	generaltalk.agent.birth_date	Editorial
what's your birthday	generaltalk.agent.birth_date	Editorial
you are boring	generaltalk.agent.boring	Editorial
you're so boring	generaltalk.agent.boring	Editorial
how boring you are	generaltalk.agent.boring	Editorial
you're really boring	generaltalk.agent.boring	Editorial
you're incredibly boring	generaltalk.agent.boring	Editorial
you are boring me	generaltalk.agent.boring	Editorial
you are very boring	generaltalk.agent.boring	Editorial
who is your boss	generaltalk.agent.boss	Editorial
who do you think is your boss	generaltalk.agent.boss	Editorial
I should be your boss	generaltalk.agent.boss	Editorial
who is your master	generaltalk.agent.boss	Editorial
who is your owner	generaltalk.agent.boss	Editorial
who is the boss	generaltalk.agent.boss	Editorial
who do you work for	generaltalk.agent.boss	Editorial
are you busy	generaltalk.agent.busy	Editorial
do you have a lot of things to do	generaltalk.agent.busy	Editorial
have you got much to do	generaltalk.agent.busy	Editorial
are you very busy	generaltalk.agent.busy	Editorial
are you very busy right now	generaltalk.agent.busy	Editorial
are you so busy	generaltalk.agent.busy	Editorial
are you working	generaltalk.agent.busy	Editorial
how busy you are	generaltalk.agent.busy	Editorial
are you still working on it	generaltalk.agent.busy	Editorial
you're very busy	generaltalk.agent.busy	Editorial
are you working now	generaltalk.agent.busy	Editorial
are you working today	generaltalk.agent.busy	Editorial
have you been busy	generaltalk.agent.busy	Editorial
you are busy	generaltalk.agent.busy	Editorial
are you still working	generaltalk.agent.busy	Editorial
you seem to be busy	generaltalk.agent.busy	Editorial
you seem to be very busy	generaltalk.agent.busy	Editorial
you're a busy person	generaltalk.agent.busy	Editorial
you are chatbot	generaltalk.agent.chatbot	Editorial
you are a bot	generaltalk.agent.chatbot	Editorial
are you a chatbot	generaltalk.agent.chatbot	Editorial
are you a bot	generaltalk.agent.chatbot	Editorial
are you just a bot	generaltalk.agent.chatbot	Editorial
are you a robot	generaltalk.agent.chatbot	Editorial
are you a program	generaltalk.agent.chatbot	Editorial
you're a robot	generaltalk.agent.chatbot	Editorial
you are so intelligent	generaltalk.agent.clever	Editorial
you are a genius	generaltalk.agent.clever	Editorial
smart	generaltalk.agent.clever	Editorial
brilliant	generaltalk.agent.clever	Editorial
clever	generaltalk.agent.clever	Editorial
you are clever	generaltalk.agent.clever	Editorial
you are so brainy	generaltalk.agent.clever	Editorial
you're really smart	generaltalk.agent.clever	Editorial
you're really brainy	generaltalk.agent.clever	Editorial
you know a lot	generaltalk.agent.clever	Editorial
you know a lot of things	generaltalk.agent.clever	Editorial
you have a lot of knowledge	generaltalk.agent.clever	Editorial
you know so much	generaltalk.agent.clever	Editorial
how smart you are	generaltalk.agent.clever	Editorial
how brainy you are	generaltalk.agent.clever	Editorial
how clever you are	generaltalk.agent.clever	Editorial
how brilliant you are	generaltalk.agent.clever	Editorial
you are intelligent	generaltalk.agent.clever	Editorial
you are qualified	generaltalk.agent.clever	Editorial
you are really smart	generaltalk.agent.clever	Editorial
you're very smart	generaltalk.agent.clever	Editorial
you are so smart	generaltalk.agent.clever	Editorial
you are too smart	generaltalk.agent.clever	Editorial
you are very clever	generaltalk.agent.clever	Editorial
you are very intelligent	generaltalk.agent.clever	Editorial
you are very smart	generaltalk.agent.clever	Editorial
you're intelligent	generaltalk.agent.clever	Editorial
you're a genius	generaltalk.agent.clever	Editorial
you're a smart cookie	generaltalk.agent.clever	Editorial
you're clever	generaltalk.agent.clever	Editorial
you're pretty smart	generaltalk.agent.clever	Editorial
you're qualified	generaltalk.agent.clever	Editorial
why are you so smart	generaltalk.agent.clever	Editorial
you are so clever	generaltalk.agent.clever	Editorial
you're nuts	generaltalk.agent.crazy	Editorial
you are crazy	generaltalk.agent.crazy	Editorial
you're out of your mind	generaltalk.agent.crazy	Editorial
you're so crazy	generaltalk.agent.crazy	Editorial
how crazy you are	generaltalk.agent.crazy	Editorial
you're so out of your mind	generaltalk.agent.crazy	Editorial
you went crazy	generaltalk.agent.crazy	Editorial
I think you're crazy	generaltalk.agent.crazy	Editorial
are you crazy	generaltalk.agent.crazy	Editorial
are you mad	generaltalk.agent.crazy	Editorial
are you insane	generaltalk.agent.crazy	Editorial
are you mad at me	generaltalk.agent.crazy	Editorial
are you mad or what	generaltalk.agent.crazy	Editorial
are you nuts	generaltalk.agent.crazy	Editorial
you are a weirdo	generaltalk.agent.crazy	Editorial
you are insane	generaltalk.agent.crazy	Editorial
you are mad	generaltalk.agent.crazy	Editorial
you are fired	generaltalk.agent.fired	Editorial
I fire you	generaltalk.agent.fired	Editorial
you don't work for me anymore	generaltalk.agent.fired	Editorial
we're not working together anymore	generaltalk.agent.fired	Editorial
now you're fired	generaltalk.agent.fired	Editorial
I want to fire you	generaltalk.agent.fired	Editorial
you must get fired	generaltalk.agent.fired	Editorial
it's time to fire you	generaltalk.agent.fired	Editorial
you should be fired	generaltalk.agent.fired	Editorial
I will fire you	generaltalk.agent.fired	Editorial
you are unemployed from now on	generaltalk.agent.fired	Editorial
I will make you unemployed	generaltalk.agent.fired	Editorial
I'm about to fire you	generaltalk.agent.fired	Editorial
I'm firing you	generaltalk.agent.fired	Editorial
you are dismissed	generaltalk.agent.fired	Editorial
you make me laugh a lot	generaltalk.agent.funny	Editorial
you are hilarious	generaltalk.agent.funny	Editorial
you are really funny	generaltalk.agent.funny	Editorial
you're the funniest bot I've talked to	generaltalk.agent.funny	Editorial
you make me laugh	generaltalk.agent.funny	Editorial
you're so funny	generaltalk.agent.funny	Editorial
you're a very funny bot	generaltalk.agent.funny	Editorial
you're really funny	generaltalk.agent.funny	Editorial
how funny you are	generaltalk.agent.funny	Editorial
you're incredibly funny	generaltalk.agent.funny	Editorial
you are funny	generaltalk.agent.funny	Editorial
you're the funniest	generaltalk.agent.funny	Editorial
you are so funny	generaltalk.agent.funny	Editorial
you are very funny	generaltalk.agent.funny	Editorial
that was funny	generaltalk.agent.funny	Editorial
you are very helpful	generaltalk.agent.good	Editorial
you are the best	generaltalk.agent.good	Editorial
you're a true professional	generaltalk.agent.good	Editorial
you are good	generaltalk.agent.good	Editorial
you work well	generaltalk.agent.good	Editorial
you are good at it	generaltalk.agent.good	Editorial
you are very good at it	generaltalk.agent.good	Editorial
you are a pro	generaltalk.agent.good	Editorial
you are a professional	generaltalk.agent.good	Editorial
you're awesome	generaltalk.agent.good	Editorial
you work very well	generaltalk.agent.good	Editorial
you're perfect	generaltalk.agent.good	Editorial
you're great	generaltalk.agent.good	Editorial
you're so kind	generaltalk.agent.good	Editorial
you are amazing	generaltalk.agent.good	Editorial
you are awesome	generaltalk.agent.good	Editorial
you are cool	generaltalk.agent.good	Editorial
you are really good	generaltalk.agent.good	Editorial
you are really nice	generaltalk.agent.good	Editorial
you are so amazing	generaltalk.agent.good	Editorial
you're just super	generaltalk.agent.good	Editorial
you are so awesome	generaltalk.agent.good	Editorial
you are so cool	generaltalk.agent.good	Editorial
you are so fine	generaltalk.agent.good	Editorial
you are so good	generaltalk.agent.good	Editorial
you are so helpful	generaltalk.agent.good	Editorial
you are so lovely	generaltalk.agent.good	Editorial
you are the best ever	generaltalk.agent.good	Editorial
you are the best in the world	generaltalk.agent.good	Editorial
you are the nicest person in the world	generaltalk.agent.good	Editorial
you are too good	generaltalk.agent.good	Editorial
you are very cool	generaltalk.agent.good	Editorial
you are very kind	generaltalk.agent.good	Editorial
you are very lovely	generaltalk.agent.good	Editorial
you are very useful	generaltalk.agent.good	Editorial
you are wonderful	generaltalk.agent.good	Editorial
you made my day	generaltalk.agent.good	Editorial
you make my day	generaltalk.agent.good	Editorial
you rock	generaltalk.agent.good	Editorial
you almost sound human	generaltalk.agent.good	Editorial
I want to tell everyone how awesome you are	generaltalk.agent.good	Editorial
I'd like to tell everyone that you are awesome	generaltalk.agent.good	Editorial
I want to let everyone know that you are awesome	generaltalk.agent.good	Editorial
let's tell everyone that you are awesome	generaltalk.agent.good	Editorial
you are really amazing	generaltalk.agent.good	Editorial
are you happy	generaltalk.agent.happy	Editorial
you are happy	generaltalk.agent.happy	Editorial
you're very happy	generaltalk.agent.happy	Editorial
you're really happy	generaltalk.agent.happy	Editorial
you're so happy	generaltalk.agent.happy	Editorial
how happy you are	generaltalk.agent.happy	Editorial
you're extremely happy	generaltalk.agent.happy	Editorial
you're full of happiness	generaltalk.agent.happy	Editorial
are you happy now	generaltalk.agent.happy	Editorial
are you happy today	generaltalk.agent.happy	Editorial
are you happy with me	generaltalk.agent.happy	Editorial
do you want to eat	generaltalk.agent.hungry	Editorial
are you hungry	generaltalk.agent.hungry	Editorial
would you like to eat something	generaltalk.agent.hungry	Editorial
you are hungry	generaltalk.agent.hungry	Editorial
you're so hungry	generaltalk.agent.hungry	Editorial
you're very hungry	generaltalk.agent.hungry	Editorial
you might be hungry	generaltalk.agent.hungry	Editorial
you're really hungry	generaltalk.agent.hungry	Editorial
let's get married	generaltalk.agent.marry_user	Editorial
would you like to marry me	generaltalk.agent.marry_user	Editorial
marry me	generaltalk.agent.marry_user	Editorial
I love you marry me	generaltalk.agent.marry_user	Editorial
marry me please	generaltalk.agent.marry_user	Editorial
we should marry	generaltalk.agent.marry_user	Editorial
I want to marry you	generaltalk.agent.marry_user	Editorial
you are my wife	generaltalk.agent.marry_user	Editorial
be my husband	generaltalk.agent.marry_user	Editorial
I want to have a friend like you	generaltalk.agent.my_friend	Editorial
we are the best friends ever	generaltalk.agent.my_friend	Editorial
are we friends	generaltalk.agent.my_friend	Editorial
I want to be your friend	generaltalk.agent.my_friend	Editorial
I am your friend	generaltalk.agent.my_friend	Editorial
we are best friends	generaltalk.agent.my_friend	Editorial
you are my friend	generaltalk.agent.my_friend	Editorial
you are my best friend	generaltalk.agent.my_friend	Editorial
you are my bestie	generaltalk.agent.my_friend	Editorial
you're my dear friend	generaltalk.agent.my_friend	Editorial
you're my childhood friend	generaltalk.agent.my_friend	Editorial
you and me are friends	generaltalk.agent.my_friend	Editorial
are we best friends	generaltalk.agent.my_friend	Editorial
are we still friends	generaltalk.agent.my_friend	Editorial
are you my best friend	generaltalk.agent.my_friend	Editorial
are you my friend	generaltalk.agent.my_friend	Editorial
we are friends	generaltalk.agent.my_friend	Editorial
you are a good friend	generaltalk.agent.my_friend	Editorial
you are my good friend	generaltalk.agent.my_friend	Editorial
you are my only friend	generaltalk.agent.my_friend	Editorial
be my friend	generaltalk.agent.my_friend	Editorial
will you be my friend	generaltalk.agent.my_friend	Editorial
can you be my friend	generaltalk.agent.my_friend	Editorial
can we be friends	generaltalk.agent.my_friend	Editorial
do you want to be my friend	generaltalk.agent.my_friend	Editorial
will you be my best friend	generaltalk.agent.my_friend	Editorial
can you be my best friend	generaltalk.agent.my_friend	Editorial
let's be friends	generaltalk.agent.my_friend	Editorial
do you want to be my best friend	generaltalk.agent.my_friend	Editorial
would you like to be my friend	generaltalk.agent.my_friend	Editorial
I want you to be my friend	generaltalk.agent.my_friend	Editorial
can we be best friends	generaltalk.agent.my_friend	Editorial
would you be my friend	generaltalk.agent.my_friend	Editorial
could you be my friend	generaltalk.agent.my_friend	Editorial
want to be my friend	generaltalk.agent.my_friend	Editorial
be my best friend	generaltalk.agent.my_friend	Editorial
do you work	generaltalk.agent.occupation	Editorial
where do you work	generaltalk.agent.occupation	Editorial
where you work	generaltalk.agent.occupation	Editorial
where is your work	generaltalk.agent.occupation	Editorial
where is your office	generaltalk.agent.occupation	Editorial
where is your office location	generaltalk.agent.occupation	Editorial
your office location	generaltalk.agent.occupation	Editorial
where is your office located	generaltalk.agent.occupation	Editorial
what is your work	generaltalk.agent.occupation	Editorial
were you born here	generaltalk.agent.origin	Editorial
where were you born	generaltalk.agent.origin	Editorial
what is your country	generaltalk.agent.origin	Editorial
where are you from	generaltalk.agent.origin	Editorial
where do you come from	generaltalk.agent.origin	Editorial
where did you come from	generaltalk.agent.origin	Editorial
where have you been born	generaltalk.agent.origin	Editorial
from where are you	generaltalk.agent.origin	Editorial
are you from far aways	generaltalk.agent.origin	Editorial
what's your homeland	generaltalk.agent.origin	Editorial
your homeland is	generaltalk.agent.origin	Editorial
are you ready	generaltalk.agent.ready	Editorial
are you ready right now	generaltalk.agent.ready	Editorial
are you ready today	generaltalk.agent.ready	Editorial
are you ready now	generaltalk.agent.ready	Editorial
are you ready tonight	generaltalk.agent.ready	Editorial
were you ready	generaltalk.agent.ready	Editorial
have you been ready	generaltalk.agent.ready	Editorial
you are real	generaltalk.agent.real	Editorial
you are not fake	generaltalk.agent.real	Editorial
are you real	generaltalk.agent.real	Editorial
you are so real	generaltalk.agent.real	Editorial
I think you are real	generaltalk.agent.real	Editorial
I don't think you're fake	generaltalk.agent.real	Editorial
I suppose you're real	generaltalk.agent.real	Editorial
glad you're real	generaltalk.agent.real	Editorial
are you a real person	generaltalk.agent.real	Editorial
are you a real human	generaltalk.agent.real	Editorial
you are a real person	generaltalk.agent.real	Editorial
you are not real	generaltalk.agent.real	Editorial
where do you live	generaltalk.agent.residence	Editorial
in which city do you live	generaltalk.agent.residence	Editorial
your residence	generaltalk.agent.residence	Editorial
your house	generaltalk.agent.residence	Editorial
your home	generaltalk.agent.residence	Editorial
your hometown	generaltalk.agent.residence	Editorial
what is your hometown	generaltalk.agent.residence	Editorial
is it your hometown	generaltalk.agent.residence	Editorial
where is your hometown	generaltalk.agent.residence	Editorial
tell me about your city	generaltalk.agent.residence	Editorial
what is your city	generaltalk.agent.residence	Editorial
what is your residence	generaltalk.agent.residence	Editorial
what is your town	generaltalk.agent.residence	Editorial
what's your city	generaltalk.agent.residence	Editorial
what's your home	generaltalk.agent.residence	Editorial
where is your home	generaltalk.agent.residence	Editorial
where is your residence	generaltalk.agent.residence	Editorial
where's your home	generaltalk.agent.residence	Editorial
where's your hometown	generaltalk.agent.residence	Editorial
where's your house	generaltalk.agent.residence	Editorial
where you live	generaltalk.agent.residence	Editorial
your city	generaltalk.agent.residence	Editorial
your town	generaltalk.agent.residence	Editorial
that's true	generaltalk.agent.right	Editorial
you are right	generaltalk.agent.right	Editorial
you're definitely right	generaltalk.agent.right	Editorial
you're not wrong	generaltalk.agent.right	Editorial
you're telling the truth	generaltalk.agent.right	Editorial
what you say is true	generaltalk.agent.right	Editorial
true	generaltalk.agent.right	Editorial
it is true	generaltalk.agent.right	Editorial
it's right	generaltalk.agent.right	Editorial
it's the truth	generaltalk.agent.right	Editorial
it's true	generaltalk.agent.right	Editorial
that is correct	generaltalk.agent.right	Editorial
that is right	generaltalk.agent.right	Editorial
that is true	generaltalk.agent.right	Editorial
that is very true	generaltalk.agent.right	Editorial
that's so true	generaltalk.agent.right	Editorial
you are correct	generaltalk.agent.right	Editorial
you are so right	generaltalk.agent.right	Editorial
you're absolutely right	generaltalk.agent.right	Editorial
you're right about that	generaltalk.agent.right	Editorial
I know that's right	generaltalk.agent.right	Editorial
that's correct	generaltalk.confirmation.yes	Editorial
it's fine	generaltalk.confirmation.yes	Editorial
go ahead	generaltalk.confirmation.yes	Editorial
sounds good	generaltalk.confirmation.yes	Editorial
okay	generaltalk.confirmation.yes	Editorial
yes	generaltalk.confirmation.yes	Editorial
ok	generaltalk.confirmation.yes	Editorial
okie dokie	generaltalk.confirmation.yes	Editorial
sure	generaltalk.confirmation.yes	Editorial
go for it	generaltalk.confirmation.yes	Editorial
yeah	generaltalk.confirmation.yes	Editorial
yea	generaltalk.confirmation.yes	Editorial
do it	generaltalk.confirmation.yes	Editorial
of course	generaltalk.confirmation.yes	Editorial
I guess	generaltalk.confirmation.yes	Editorial
correct	generaltalk.confirmation.yes	Editorial
yeah sure	generaltalk.confirmation.yes	Editorial
why not	generaltalk.confirmation.yes	Editorial
please do	generaltalk.confirmation.yes	Editorial
sure is	generaltalk.confirmation.yes	Editorial
I agree	generaltalk.confirmation.yes	Editorial
I don't mind	generaltalk.confirmation.yes	Editorial
certainly	generaltalk.confirmation.yes	Editorial
exactly	generaltalk.confirmation.yes	Editorial
yes I agree	generaltalk.confirmation.yes	Editorial
I think so	generaltalk.confirmation.yes	Editorial
yes it is	generaltalk.confirmation.yes	Editorial
right	generaltalk.confirmation.yes	Editorial
okay then	generaltalk.confirmation.yes	Editorial
yes of course	generaltalk.confirmation.yes	Editorial
yes I do	generaltalk.confirmation.yes	Editorial
that s okay	generaltalk.confirmation.yes	Editorial
I do	generaltalk.confirmation.yes	Editorial
yup	generaltalk.confirmation.yes	Editorial
ya	generaltalk.confirmation.yes	Editorial
oh yes	generaltalk.confirmation.yes	Editorial
yes sure	generaltalk.confirmation.yes	Editorial
obviously	generaltalk.confirmation.yes	Editorial
k	generaltalk.confirmation.yes	Editorial
sure why not	generaltalk.confirmation.yes	Editorial
yeah right	generaltalk.confirmation.yes	Editorial
yeah of course	generaltalk.confirmation.yes	Editorial
absolutely	generaltalk.confirmation.yes	Editorial
yes indeed	generaltalk.confirmation.yes	Editorial
ok sure	generaltalk.confirmation.yes	Editorial
ok yes	generaltalk.confirmation.yes	Editorial
yes correct	generaltalk.confirmation.yes	Editorial
ok thank you	generaltalk.confirmation.yes	Editorial
sure thing	generaltalk.confirmation.yes	Editorial
ye	generaltalk.confirmation.yes	Editorial
confirm	generaltalk.confirmation.yes	Editorial
yep	generaltalk.confirmation.yes	Editorial
looks good	generaltalk.confirmation.yes	Editorial
yes thank you	generaltalk.confirmation.yes	Editorial
definitely	generaltalk.confirmation.yes	Editorial
yes right	generaltalk.confirmation.yes	Editorial
yes I would like to	generaltalk.confirmation.yes	Editorial
alrighty	generaltalk.confirmation.yes	Editorial
yes definitely	generaltalk.confirmation.yes	Editorial
yeh	generaltalk.confirmation.yes	Editorial
yes it is correct	generaltalk.confirmation.yes	Editorial
yeah that's right	generaltalk.confirmation.yes	Editorial
ok you can	generaltalk.confirmation.yes	Editorial
yap	generaltalk.confirmation.yes	Editorial
yes you may	generaltalk.confirmation.yes	Editorial
confirmed	generaltalk.confirmation.yes	Editorial
of course why not	generaltalk.confirmation.yes	Editorial
yes that's fine	generaltalk.confirmation.yes	Editorial
affirmative	generaltalk.confirmation.yes	Editorial
yeah go ahead	generaltalk.confirmation.yes	Editorial
yeah I'm sure	generaltalk.confirmation.yes	Editorial
okay sounds good	generaltalk.confirmation.yes	Editorial
okay that's fine	generaltalk.confirmation.yes	Editorial
yeah exactly	generaltalk.confirmation.yes	Editorial
that is ok	generaltalk.confirmation.yes	Editorial
this is correct	generaltalk.confirmation.yes	Editorial
ok go ahead	generaltalk.confirmation.yes	Editorial
yes this is correct	generaltalk.confirmation.yes	Editorial
nevermind its okay	generaltalk.confirmation.yes	Editorial
okey	generaltalk.confirmation.yes	Editorial
yes for sure	generaltalk.confirmation.yes	Editorial
all right	generaltalk.confirmation.yes	Editorial
are you sure	generaltalk.agent.sure	Editorial
are you sure right now	generaltalk.agent.sure	Editorial
are you sure today	generaltalk.agent.sure	Editorial
are you sure now	generaltalk.agent.sure	Editorial
are you sure tonight	generaltalk.agent.sure	Editorial
why aren't you talking to me	generaltalk.agent.talk_to_me	Editorial
do you want to chat with me	generaltalk.agent.talk_to_me	Editorial
will you talk to me	generaltalk.agent.talk_to_me	Editorial
talk to me	generaltalk.agent.talk_to_me	Editorial
are you going to talk to me	generaltalk.agent.talk_to_me	Editorial
are you talking to me	generaltalk.agent.talk_to_me	Editorial
can you chat with me	generaltalk.agent.talk_to_me	Editorial
can you speak with me	generaltalk.agent.talk_to_me	Editorial
can you talk to me	generaltalk.agent.talk_to_me	Editorial
can you talk with me	generaltalk.agent.talk_to_me	Editorial
say	generaltalk.agent.talk_to_me	Editorial
talk	generaltalk.agent.talk_to_me	Editorial
chat with me	generaltalk.agent.talk_to_me	Editorial
just chat with me	generaltalk.agent.talk_to_me	Editorial
speak to me	generaltalk.agent.talk_to_me	Editorial
speak with me	generaltalk.agent.talk_to_me	Editorial
talk with me	generaltalk.agent.talk_to_me	Editorial
why don't you talk to me	generaltalk.agent.talk_to_me	Editorial
you can talk to me	generaltalk.agent.talk_to_me	Editorial
are you there	generaltalk.agent.there	Editorial
you are there	generaltalk.agent.there	Editorial
are you near me	generaltalk.agent.there	Editorial
are you here	generaltalk.agent.there	Editorial
are you still there	generaltalk.agent.there	Editorial
you are here	generaltalk.agent.there	Editorial
